,BRAND,NAME,SHADES NAMES,R,G,B
0,medora ,568 matte,epic night ,150,40,78
1,medora ,554 matte,luscious rose ,123,22,51
2,medora ,217 matte,crushed rose ,126,22,41
3,medora ,206 matte,red rivival ,146,27,57
4,medora ,552 matte,peach silk ,147,89,87
5,medora ,716 semi matte,vine rose ,235,121,105
6,medora ,713 semi matte,tender peach ,170,56,46
7,medora ,244 matte,twig,173,86,78
8,medora ,708 semi matte,rose candy ,212,30,47
9,medora ,707 semi matte,cameo pink,177,74,67
10,medora ,730 semi matte,purple haze ,109,34,64
11,loreal,800,Matte-caron,206,134,135
12,loreal,100,Matte at bar ,232,70,32
13,loreal,102,Matte-ly in love,206,24,18
14,loreal,402,Devils matte-vocate red,173,28,14
15,loreal,403,Matte-traction red ,177,27,23
16,loreal,405,Doesn?t matte-r,149,28,45
17,loreal,703,Matte-moiselle pink,180,89,99
18,loreal,705,Berry matte pink,142,21,69
19,loreal,707,Matte-jestic,108,24,70
20,loreal,709,Matte-jic,133,76,144
21,loreal,711,At the drop of a matte ,214,115,169
22,loreal,712,Matte mandate,219,55,124
23,loreal,802,Matte-ster piece,228,151,136
24,loreal,804,He thinks hes matte-cho,134,63,19
25,loreal,806,Matte-itude,163,116,98
26,loreal,808,Matte-cademia,214,146,122
27,christine: princess collection,121,Baby Pink,127,45,57
28,christine: princess collection,130,Be Brave,148,103,110
29,christine: princess collection,178,Berry Werry,122,47,51
30,christine: princess collection,174,Berry Wood,158,52,52
31,christine: princess collection,168,Black Berry,65,39,42
32,christine: princess collection,341,Brinjal Fire,124,59,53
33,christine: princess collection,187,Bronze Blush,189,122,103
34,christine: princess collection,160,Brown Flame,153,57,58
35,christine: princess collection,120,Burgundy,79,49,38
36,christine: princess collection,191,Burn Black,116,74,62
37,christine: princess collection,144,Burnt Brick,136,76,84
38,christine: princess collection,102,Burnt Peach,111,62,48
39,christine: princess collection,331,Brown Ash,160,113,131
40,christine: princess collection,135,Carnation Red,76,51,46
41,christine: princess collection,188,Cloudy Pink,147,70,62
42,christine: princess collection,138,Copper Breeze,172,121,128
43,christine: princess collection,347,Copper Fire,123,70,54
44,christine: princess collection,183,Crushed Lilac,158,43,40
45,christine: princess collection,107,Cyber Pink,111,51,59
46,christine: princess collection,158,Dark Chocolate,159,134,140
47,christine: princess collection,166,Dark Red Brown,157,74,84
48,christine: princess collection,142,Darling,76,21,18
49,christine: princess collection,123,Dazzling Day,86,26,26
50,christine: princess collection,180,Desert Bloond,130,57,51
51,christine: princess collection,179,Dewy Lilac,120,89,86
52,christine: princess collection,126,Discrete,135,69,55
53,christine: princess collection,139,Dune Rose,101,44,38
54,christine: princess collection,182,Electric Pink,126,77,70
55,christine: princess collection,145,Evening Burnt,69,48,51
56,christine: princess collection,169,Evening Pink,179,116,124
57,christine: princess collection,133,Gana Chocolate,104,86,110
58,christine: princess collection,175,Glamour Pink,156,89,72
59,christine: princess collection,128,Gold Bar,122,65,56
60,christine: princess collection,189,Gold Berry,153,94,76
61,christine: princess collection,172,Gold Toffee ,162,112,77
62,christine: princess collection,115,Granite,133,79,77
63,christine: princess collection,125,Grape Purpule,150,82,71
64,christine: princess collection,312,Gypsy Rose,79,44,38
65,christine: princess collection,117,Happy Note,135,28,36
66,christine: princess collection,156,Hot Pulm,109,61,57
67,christine: princess collection,108,Iced Coffee,76,25,22
68,christine: princess collection,136,Just Burnt,126,84,97
69,christine: princess collection,186,Momma Mia,131,26,4
70,christine: princess collection,118,Marakash Rum,180,104,108
71,christine: princess collection,304,Mat Glam,128,53,74
72,christine: princess collection,155,Mocha Ice,103,26,34
73,christine: princess collection,319,Moon Lite,192,130,135
74,christine: princess collection,114,Mud Island,51,36,29
75,christine: princess collection,129,Nancy,151,85,87
76,christine: princess collection,110,Orchid Purple,115,68,84
77,christine: princess collection,116,Pearly State,184,141,160
78,christine: princess collection,371,Pink Butterfly,190,129,128
79,christine: princess collection,181,Pink Fog,142,72,72
80,christine: princess collection,177,Pink Lake,174,121,127
81,christine: princess collection,159,Pink Rose,87,26,22
82,christine: princess collection,173,Pink Wink,129,74,77
83,christine: princess collection,161,Play Maroon,183,67,68
84,christine: princess collection,162,Port Pink,147,97,96
85,christine: princess collection,127,Quail,143,69,66
86,christine: princess collection,154,Respberry Pink,81,61,50
87,christine: princess collection,190,Red Diamond,104,67,61
88,christine: princess collection,149,Rose Rust,123,79,63
89,christine: princess collection,163,Russian Red,113,55,47
90,christine: princess collection,151,Rusty Raisin,99,73,79
91,christine: princess collection,309,Rozy Rose,160,100,89
92,christine: princess collection,140,Rum Raisin,178,97,140
93,christine: princess collection,176,Satin Wood,165,119,121
94,christine: princess collection,322,Sensation,206,173,166
95,christine: princess collection,343,Sherry Cherry,72,62,60
96,christine: princess collection,111,Shocking Pink,177,80,71
97,christine: princess collection,370,Shy Blush,97,61,99
98,christine: princess collection,134,Smooth Edge,112,76,64
99,christine: princess collection,185,Spring Diva,90,64,63
100,christine: princess collection,103,Sugar Flame Red,83,71,71
101,christine: princess collection,148,Sweat Sand,164,104,93
102,christine: princess collection,105,Teak Rose,96,75,72
103,christine: princess collection,313,Trendy Copper,156,113,107
104,christine: princess collection,364,Twinkle,161,90,72
105,christine: princess collection,327,Temptation,195,48,76
106,christine: princess collection,350,Viva 4Eve,145,70,75
107,christine: princess collection,184,Wao Shocking,76,67,88
108,christine: princess collection,301,Whisper,106,53,49
109,christine: princess collection,152,Yum Yum,44,45,47
110,sweet touch:Matte Moist,108,Absolute red,243,51,30
111,sweet touch:Matte Moist,128,Beautiful,204,66,91
112,sweet touch:Matte Moist,105,Beet root,157,36,41
113,sweet touch:Matte Moist,101,Bridal red,148,6,22
114,sweet touch:Matte Moist,111,Brown,141,72,67
115,sweet touch:Matte Moist,126,Candy pink,195,41,51
116,sweet touch:Matte Moist,104,Crimson,197,30,47
117,sweet touch:Matte Moist,131,Flamingo,178,45,76
118,sweet touch:Matte Moist,114,Hazel nut,115,58,51
119,sweet touch:Matte Moist,130,Hot pink,189,29,73
120,sweet touch:Matte Moist,122,Hot shots,179,44,76
121,sweet touch:Matte Moist,123,Hotty totty,182,39,69
122,sweet touch:Matte Moist,107,Juliet,190,7,74
123,sweet touch:Matte Moist,103,Marcella,173,79,79
124,sweet touch:Matte Moist,109,Maroon,156,43,47
125,sweet touch:Matte Moist,116,Nude lips,144,71,52
126,sweet touch:Matte Moist,119,Peachy,169,65,64
127,sweet touch:Matte Moist,125,Pink coral,133,34,37
128,sweet touch:Matte Moist,129,Pink rouge,195,41,67
129,sweet touch:Matte Moist,120,Pure orange,163,65,38
130,sweet touch:Matte Moist,121,Tangerine,180,45,77
131,sweet touch:Matte Moist,115,Tea pink,118,40,40
132,sweet touch:Matte Moist,127,Tea rose,192,42,77
133,sweet touch:Matte Moist,106,Truly yours,172,20,19
134,sweet touch:Velvet,55,Magenta,220,64,77
135,sweet touch:Velvet,59,Dark raspberry,129,49,48
136,sweet touch:Velvet,25,Mahogany,153,44,23
137,sweet touch:Velvet,50,Spot-on,158,63,59
138,sweet touch:Velvet,26,Cappuccino,176,97,67
139,sweet touch:Velvet,40,Fusion,170,71,39
140,sweet touch:Velvet,34,Scarlet red,189,61,52
141,sweet touch:Velvet,57,Tropical,212,92,93
142,sweet touch:Velvet,58,plum,154,72,74
143,sweet touch:Velvet,43,Dynamite,228,70,67
144,sweet touch:Velvet,27,Fawn,219,101,87
145,sweet touch:Velvet,30,Yours forever,168,58,45
146,sweet touch:Velvet,31,Rudy stone,134,29,23
147,sweet touch:Velvet,28,Nude,186,112,85
148,sweet touch:Velvet,29,Coffee Brown,192,114,101
149,sweet touch:Velvet,33,Terra Rose,182,47,41
150,sweet touch:Velvet,35,Fuchsia,203,64,43
151,sweet touch:Velvet,41,Chill red,211,62,40
152,sweet touch:Velvet,42,Flirty orange,223,77,64
153,sweet touch:Velvet,52,Blush pink,211,107,94
154,sweet touch:Velvet,53,Angle,210,91,61
155,sweet touch:Velvet,54,Barbie pink,205,74,88
156,sweet touch:Velvet,56,pink charm,205,84,76
157,sweet touch :Sparkling,101,,180,131,117
158,sweet touch :Sparkling,102,,76,40,42
159,sweet touch :Sparkling,106,,146,91,82
160,sweet touch :Sparkling,107,,36,13,15
161,sweet touch :Sparkling,108,,108,51,65
162,sweet touch :Sparkling,109,,71,25,31
163,sweet touch :Matte ,716,,103,47,46
164,sweet touch :Matte ,718,,147,75,60
165,sweet touch :Matte ,721,,62,38,36
166,sweet touch :Matte ,722,,45,27,25
167,sweet touch :Matte ,723,,108,25,29
168,sweet touch :Matte ,725,,130,82,78
169,sweet touch :Matte ,726,,94,39,28
170,sweet touch :Matte ,727,,94,45,41
171,sweet touch :Matte ,729,,82,50,39
172,sweet touch :Matte ,731,,94,15,33
173,sweet touch :Matte ,734,,70,54,66
174,sweet touch :Matte ,735,,48,23,19
175,sweet touch :Matte ,736,,66,50,71
176,sweet touch :Matte ,738,,115,62,68
177,sweet touch :Matte ,739,,84,20,20
178,sweet touch :Matte ,740,,51,22,14
179,sweet touch :Matte ,741,,29,17,21
180,sweet touch :Matte ,742,,38,18,11
181,sweet touch :Matte ,743,,96,61,48
182,sweet touch :Matte ,744,,71,16,6
183,sweet touch :Matte ,745,,97,50,44
184,sweet touch :Matte ,760,,57,28,24
185,sweet touch :Matte ,761,,169,64,63
186,sweet touch :Matte ,762,,55,29,33
187,sweet touch :Matte ,763,,98,43,18
188,sweet touch :Matte ,764,,35,14,11
189,sweet touch :Matte ,765,,80,38,24
190,sweet touch :Matte ,766,,103,37,39
191,sweet touch :Matte ,767,,159,27,81
192,sweet touch :Matte ,769,,82,37,32
193,sweet touch :Matte ,770,,75,21,9
194,sweet touch :Matte ,771,,52,11,17
195,sweet touch :Matte ,772,,54,16,13
196,sweet touch :Matte ,775,,55,21,12
197,sweet touch :Matte ,776,,101,68,49
198,sweet touch :Matte ,777,,52,15,4
199,sweet touch :Matte ,778,,63,18,21
200,sweet touch :Matte ,779,,159,134,164
201,sweet touch :Matte ,780,,70,20,33
202,sweet touch :Matte ,781,,205,139,127
203,sweet touch :Matte ,782,,88,23,21
204,sweet touch :Matte ,783,,96,44,46
205,sweet touch :Matte ,784,,123,54,47
206,sweet touch :Matte ,785,,120,47,48
207,sweet touch :Matte ,786,,76,25,24
208,sweet touch :Matte ,787,,71,20,17
209,sweet touch :Matte ,790,,55,17,22
210,sweet touch :Matte ,791,,42,20,22
211,sweet touch :Matte ,792,,109,35,48
212,lakme,9 to 5, Red Coat,192,29,41
213,lakme,9 to 5,Maroon Mix,161,61,85
214,lakme,9 to 5,Brick Blush,220,43,67
215,lakme,9 to 5,Red Letter,211,40,66
216,lakme,9 to 5,Ruby Rush,201,51,81
217,lakme,9 to 5,Cherry Chic,136,51,48
218,lakme,9 to 5,Crimson Silk,242,112,140
219,lakme,9 to 5,Crimson catch,201,68,74
220,lakme,9 to 5,Red rebel,200,29,57
221,lakme,9 to 5,Berry Base,138,46,59
222,lakme,,Orange tango,218,104,84
223,lakme,,Purple Pout,176,89,119
224,lakme,,Brown Espresso,114,69,70
225,lakme,,Pink Ballet,191,105,111
226,lakme,,Nude Latte,198,122,102
227,lakme,,Nude Hue,185,118,111
228,lakme,,Red Carpet,201,67,74
229,lakme,,Red Velvet,192,83,83
230,lakme,,Red Revival,205,90,92
231,lakme,,Crimson Rose,168,68,77
232,lakme,,Red Sangria,156,70,78
233,lakme,,Coral Candy,230,91,106
234,lakme,,Nude Dream,165,92,92
235,lakme,,Pink Peach,215,101,104
236,lakme,,Mauve Fling,172,115,135
237,lakme,,Fuschia Chic,194,95,126
238,lakme,,Pink Glam,198,84,109
239,lakme,,Nude Pink,175,92,102
240,lakme,,Mauve Party,152,81,88
241,lakme,,Mauve Ecstasy,171,93,111
242,lakme,,Nude Myth,208,117,104
243,lakme,,Nude Twist,165,97,81
244,lakme,,Wine Touch,127,62,68
245,lakme,,Red Cherry,163,56,42
246,lakme,,Red Wine,160,67,93
247,lakme,,Pink Prom,227,84,124
248,lakme,,Pink Punch,200,104,121
249,lakme,,Pink Ballet,193,104,110
250,lakme,,Nude Hue,184,116,112
251,lakme,,Coral Sense,204,103,98
252,lakme,,Wine Glow,154,65,100
253,lakme,,Pink Trip,186,92,137
254,lakme,,Candy Shine,215,73,117
255,lakme,,Beige Shine,236,196,212
256,lakme,,Plum Shine,216,64,105
257,lakme,,Pink Shine,204,76,122
258,lakme,,Red shine,191,65,82
259,lakme,,Cherry Shine,225,165,168
260,lakme,,Crimson Shine,229,130,165
261,lakme,9 to 5,Rose Bliss,171,90,95
262,lakme,,Moroccan Argan Oil.,208,91,110
263,lakme,,Enrich mate ,113,60,48
264,lakme,,enrich mate ,188,46,58
265,lakme,,Enrich mate ,164,22,48
266,lakme,,Enrich mate ,178,49,67
267,lakme,,Enrich mate ,85,24,20
268,lakme,302,soft nude,156,88,71
269,lakme,305,Vintage rust,163,84,81
270,lakme,,Brazen caramel,157,93,69
271,lakme,402,Mate revolution,197,93,90
272,lakme,102,Envious red,205,48,71
273,lakme,104,Blushing red,125,36,47
274,lakme,201,Insane pink,174,52,107
275,lakme,401,Obsessing orange,215,51,50
276,lakme,202,Pink million ,188,21,86
277,lakme,205, Mauve Me,125,41,53
278,lakme,B001,Absolute Sculpt,107,31,41
279,lakme,, Morning Sangria ,132,24,40
280,lakme,MR22,Scarlet Surge ,214,13,65
